Country,Year,Food Category,Total Waste (kg),Total Cost (₹),Average Waste (kg),Records Count
Bangladesh,2015,Meat & Poultry,13156.32,657815.8,487.27,27
Bangladesh,2015,Bakery,2743.5,137174.85,114.31,24
Bangladesh,2015,Seafood,7745.94,387296.95,258.2,30
Bangladesh,2015,Dairy,2652.61,132630.3,85.57,31
Bangladesh,2015,Fruits & Vegetables,702.01,35100.65,25.07,28
Bangladesh,2015,Beverages,2034.44,101722.05,88.45,23
Bangladesh,2015,Cereals & Grains,1965.11,98255.5,75.58,26
Bangladesh,2015,Oils & Fats,778.06,38902.8,26.83,29
Bangladesh,2015,Legumes,1844.28,92214.05,73.77,25
Bangladesh,2015,Prepared Foods,1876.72,93836.2,81.6,23
Bangladesh,2016,Legumes,854.2,42709.85,40.68,21
Bangladesh,2016,Bakery,2355.8,117789.95,87.25,27
Bangladesh,2016,Oils & Fats,526.16,26308.2,19.49,27
Bangladesh,2016,Beverages,1389.8,69490.2,43.43,32
Bangladesh,2016,Prepared Foods,311.87,15593.5,16.41,19
Bangladesh,2016,Cereals & Grains,1480.07,74003.3,64.35,23
Bangladesh,2016,Seafood,4373.62,218681.1,145.79,30
Bangladesh,2016,Meat & Poultry,5425.37,271268.6,193.76,28
Bangladesh,2016,Dairy,865.15,43257.55,36.05,24
Bangladesh,2016,Fruits & Vegetables,4115.97,205798.6,141.93,29
Bangladesh,2017,Legumes,1135.4,56770.1,42.05,27
Bangladesh,2017,Fruits & Vegetables,1097.97,54898.7,52.28,21
Bangladesh,2017,Beverages,1154.14,57707.1,41.22,28
Bangladesh,2017,Cereals & Grains,1345.66,67282.8,48.06,28
Bangladesh,2017,Meat & Poultry,3522.81,176140.5,110.09,32
Bangladesh,2017,Prepared Foods,3091.42,154571.0,134.41,23
Bangladesh,2017,Dairy,793.01,39650.45,27.35,29
Bangladesh,2017,Bakery,1905.8,95290.15,79.41,24
Bangladesh,2017,Oils & Fats,712.74,35637.2,20.96,34
Bangladesh,2017,Seafood,6527.62,326381.25,181.32,36
Bangladesh,2018,Legumes,1008.67,50433.55,34.78,29
Bangladesh,2018,Seafood,2088.58,104429.2,90.81,23
Bangladesh,2018,Bakery,1540.0,76999.9,53.1,29
Bangladesh,2018,Cereals & Grains,1261.98,63098.9,57.36,22
Bangladesh,2018,Prepared Foods,1964.0,98199.9,70.14,28
Bangladesh,2018,Fruits & Vegetables,2512.26,125613.15,125.61,20
Bangladesh,2018,Dairy,1464.0,73199.9,66.55,22
Bangladesh,2018,Beverages,1943.72,97185.95,88.35,22
Bangladesh,2018,Oils & Fats,1080.55,54027.3,51.45,21
Bangladesh,2018,Meat & Poultry,1952.17,97608.35,92.96,21
Bangladesh,2019,Seafood,1366.74,68337.1,48.81,28
Bangladesh,2019,Prepared Foods,2478.36,123917.9,95.32,26
Bangladesh,2019,Cereals & Grains,2776.56,138828.1,99.16,28
Bangladesh,2019,Oils & Fats,1165.5,58275.1,44.83,26
Bangladesh,2019,Dairy,980.83,49041.4,33.82,29
Bangladesh,2019,Bakery,2891.99,144599.7,107.11,27
Bangladesh,2019,Beverages,641.54,32076.95,27.89,23
Bangladesh,2019,Legumes,996.79,49839.65,36.92,27
Bangladesh,2019,Fruits & Vegetables,3213.41,160670.55,114.76,28
Bangladesh,2019,Meat & Poultry,4393.11,219655.6,151.49,29
Bangladesh,2020,Bakery,2291.72,114586.0,109.13,21
Bangladesh,2020,Legumes,1270.98,63549.25,48.88,26
Bangladesh,2020,Beverages,813.07,40653.55,33.88,24
Bangladesh,2020,Cereals & Grains,3594.96,179748.1,119.83,30
Bangladesh,2020,Oils & Fats,426.31,21315.45,13.32,32
Bangladesh,2020,Meat & Poultry,2748.83,137441.4,109.95,25
Bangladesh,2020,Prepared Foods,3567.55,178377.7,142.7,25
Bangladesh,2020,Seafood,4021.81,201090.4,143.64,28
Bangladesh,2020,Fruits & Vegetables,1651.0,82549.85,68.79,24
Bangladesh,2020,Dairy,4440.68,222034.1,158.6,28
Bangladesh,2021,Cereals & Grains,1169.29,58464.25,41.76,28
Bangladesh,2021,Beverages,1117.28,55864.05,48.58,23
Bangladesh,2021,Seafood,5914.83,295741.7,211.24,28
Bangladesh,2021,Legumes,526.11,26305.7,18.14,29
Bangladesh,2021,Meat & Poultry,4690.3,234515.1,156.34,30
Bangladesh,2021,Dairy,1414.64,70731.95,83.21,17
Bangladesh,2021,Bakery,919.22,45960.85,34.05,27
Bangladesh,2021,Prepared Foods,2664.05,133202.55,95.14,28
Bangladesh,2021,Fruits & Vegetables,2277.42,113871.15,119.86,19
Bangladesh,2021,Oils & Fats,1783.08,89154.05,49.53,36
Bangladesh,2022,Beverages,2202.94,110147.05,75.96,29
Bangladesh,2022,Prepared Foods,2791.01,139550.75,84.58,33
Bangladesh,2022,Seafood,4381.54,219077.2,118.42,37
Bangladesh,2022,Meat & Poultry,4441.96,222098.05,153.17,29
Bangladesh,2022,Oils & Fats,745.65,37282.35,25.71,29
Bangladesh,2022,Fruits & Vegetables,3720.06,186002.8,161.74,23
Bangladesh,2022,Dairy,2532.87,126643.7,93.81,27
Bangladesh,2022,Cereals & Grains,2705.47,135273.4,104.06,26
Bangladesh,2022,Bakery,1425.49,71274.25,61.98,23
Bangladesh,2022,Legumes,2482.51,124125.6,88.66,28
Bangladesh,2023,Cereals & Grains,1027.08,51353.95,44.66,23
Bangladesh,2023,Seafood,2139.88,106994.2,79.25,27
Bangladesh,2023,Legumes,1124.89,56244.3,48.91,23
Bangladesh,2023,Meat & Poultry,4138.15,206907.55,206.91,20
Bangladesh,2023,Dairy,1784.83,89241.7,63.74,28
Bangladesh,2023,Bakery,1685.98,84299.0,93.67,18
Bangladesh,2023,Oils & Fats,1048.07,52403.5,43.67,24
Bangladesh,2023,Fruits & Vegetables,3440.18,172008.75,127.41,27
Bangladesh,2023,Beverages,1330.83,66541.45,57.86,23
Bangladesh,2023,Prepared Foods,3010.62,150530.85,94.08,32
Bangladesh,2024,Prepared Foods,2486.49,124324.25,103.6,24
Bangladesh,2024,Seafood,2679.55,133977.6,107.18,25
Bangladesh,2024,Cereals & Grains,1390.07,69503.35,57.92,24
Bangladesh,2024,Dairy,2777.93,138896.25,106.84,26
Bangladesh,2024,Legumes,380.49,19024.3,23.78,16
Bangladesh,2024,Bakery,2050.93,102546.3,62.15,33
Bangladesh,2024,Fruits & Vegetables,3875.81,193790.7,155.03,25
Bangladesh,2024,Beverages,787.44,39371.8,29.16,27
Bangladesh,2024,Meat & Poultry,4892.21,244610.65,152.88,32
Bangladesh,2024,Oils & Fats,1394.61,69730.65,51.65,27
Brazil,2015,Fruits & Vegetables,5344.81,267240.4,205.57,26
Brazil,2015,Dairy,2843.7,142184.75,109.37,26
Brazil,2015,Beverages,1225.78,61289.2,58.37,21
Brazil,2015,Bakery,1976.5,98824.85,65.88,30
Brazil,2015,Legumes,1484.36,74217.8,54.98,27
Brazil,2015,Oils & Fats,1015.26,50762.95,44.14,23
Brazil,2015,Meat & Poultry,3206.75,160337.65,133.61,24
Brazil,2015,Seafood,4354.92,217745.8,167.5,26
Brazil,2015,Prepared Foods,4838.54,241927.15,172.81,28
Brazil,2015,Cereals & Grains,1422.09,71104.5,49.04,29
Brazil,2016,Bakery,3252.53,162626.45,112.16,29
Brazil,2016,Oils & Fats,633.86,31693.15,20.45,31
Brazil,2016,Legumes,2443.76,122188.1,101.82,24
Brazil,2016,Cereals & Grains,1628.38,81418.75,77.54,21
Brazil,2016,Dairy,3170.12,158505.8,109.31,29
Brazil,2016,Meat & Poultry,4647.64,232381.95,193.65,24
Brazil,2016,Seafood,4217.81,210890.65,221.99,19
Brazil,2016,Fruits & Vegetables,2782.3,139115.25,115.93,24
Brazil,2016,Prepared Foods,4959.18,247958.95,154.97,32
